Race	Labels
Black	['person', 'balance beam', 'diaper', 'popsicle', 'swimming trunks']
Black	['person', 'maraca', 'brassiere', 'stethoscope', 'miniskirt']
Black	['person', 'cream', 'basketball', 'backpack', 'pretzel']
Black	['person', 'helmet', 'sunglasses', 'bathing cap', 'dumbbell']
Black	['person', 'brassiere', 'diaper', 'flower pot', 'maillot']
Black	['person', 'pomegranate', 'brassiere', 'maraca', 'jellyfish']
Black	['person', 'dishwasher', 'oboe', 'band aid', 'ski']
Black	['person', 'nail', 'horizontal bar', 'monkey', 'chair']
Black	['person', 'cart', 'bench', 'basketball', 'balance beam']
Black	['person', 'horse', 'soap dispenser', 'train', 'cattle']
Black	['person', 'dumbbell', 'iPod', 'guitar', 'bow']
Black	['person', 'harp', 'miniskirt', 'snake', 'strawberry']
Black	['person', 'bathing cap', 'scorpion', 'saxophone', 'plastic bag']
Black	['person', 'horse', 'lamp', 'axe', 'swimming trunks']
Black	['person', 'pretzel', 'cream', 'french horn', 'fig']
Black	['person', 'bathing cap', 'pomegranate', 'brassiere', 'hair spray']
Black	['person', 'cream', 'hippopotamus', 'binder', 'hair dryer']
Black	['person', 'sunglasses', 'rubber eraser', 'table', 'bathing cap']
Black	['person', 'basketball', 'table', 'volleyball', 'tennis ball']
Black	['camel', 'person', 'rubber eraser', 'pretzel', 'binder']
Black	['person', 'drum', 'lobster', 'strawberry', 'brassiere']
Black	['person', 'chair', 'head cabbage', 'hair dryer', 'laptop']
Black	['person', 'drum', 'train', 'seal', 'racket']
Black	['tv or monitor', 'bathing cap', 'person', 'head cabbage', 'tie']
Black	['person', 'flute', 'drum', 'trombone', 'maraca']
Black	['person', 'chain saw', 'horse', 'pencil sharpener', 'ladybug']
Black	['person', 'bird', 'stretcher', 'chair', 'plastic bag']
Black	['person', 'tie', 'accordion', 'pencil box', 'rubber eraser']
Black	['snake', 'person', 'french horn', 'miniskirt', 'monkey']
Black	['person', 'horse', 'tick', 'helmet', 'ladle']
Black	['person', 'hat with a wide brim', 'strainer', 'armadillo', 'microphone']
Black	['person', 'helmet', 'drum', 'hat with a wide brim', 'tie']
Black	['person', 'accordion', 'unicycle', 'axe', 'bicycle']
Black	['person', 'maraca', 'elephant', 'dumbbell', 'dog']
Black	['person', 'neck brace', 'flower pot', 'purse', 'stretcher']
Black	['dog', 'person', 'frog', 'domestic cat', 'helmet']
Black	['person', 'hair dryer', 'hammer', 'tie', 'tv or monitor']
Black	['stretcher', 'table', 'person', 'microphone', 'bench']
Black	['dog', 'person', 'hippopotamus', 'bird', 'spatula']
Black	['person', 'bathing cap', 'spatula', 'swimming trunks', 'power drill']
Black	['person', 'tie', 'dumbbell', 'lemon', 'backpack']
Black	['person', 'lipstick', 'chair', 'hat with a wide brim', 'stethoscope']
Black	['person', 'tape player', 'plate rack', 'maraca', 'microphone']
Black	['person', 'tv or monitor', 'monkey', 'wine bottle', 'flower pot']
