Race	Labels
White	['swimming trunks', 'sarong', 'maillot', 'maillot', 'knee pad']
White	['mortarboard', 'seat belt', 'wig', 'brassiere', 'hair spray']
White	['oboe', 'academic gown', 'neck brace', 'oxygen mask', 'whistle']
White	['Windsor tie', 'academic gown', 'suit', 'oboe', 'panpipe']
White	['valley', 'cliff dwelling', 'alp', 'suspension bridge', 'maze']
White	['nipple', 'neck brace', 'remote control', 'cradle', 'Band Aid']
White	['ocarina', 'whistle', 'oxygen mask', 'loupe', 'oboe']
White	['fur coat', 'trench coat', 'cardigan', 'velvet', 'teddy']
White	['Dutch oven', 'plow', 'diamondback', 'rifle', 'barrow']
White	['ice lolly', 'maraca', 'stethoscope', 'wooden spoon', 'soccer ball']
White	['brassiere', 'miniskirt', 'bikini', 'maillot', 'Band Aid']
White	['neck brace', 'toilet seat', 'barber chair', 'rain barrel', 'punching bag']
White	['notebook', 'dumbbell', 'miniskirt', 'bulletproof vest', 'hand-held computer']
White	['Windsor tie', 'tobacco shop', 'hand-held computer', 'neck brace', 'ocarina']
White	['maillot', 'miniskirt', 'maillot', 'horizontal bar', 'balance beam']
White	['academic gown', 'bassoon', 'mortarboard', 'plunger', 'cello']
White	['lab coat', 'suit', 'Windsor tie', 'bow tie', 'bolo tie']
White	['Windsor tie', 'neck brace', 'academic gown', 'bassoon', 'abaya']
White	['wig', 'hair spray', 'bow tie', 'hand blower', 'academic gown']
White	['sunglass', 'sunglasses', 'seat belt', 'fur coat', 'wig']
White	['diaper', 'bib', 'crib', 'tub', 'bathtub']
White	['bikini', 'wig', 'lab coat', 'maillot', 'ice lolly']
White	['sunscreen', 'Band Aid', 'face powder', 'bow tie', 'lipstick']
White	['dumbbell', 'jersey', 'miniskirt', 'bathing cap', 'plunger']
White	['military uniform', 'trench coat', 'suit', 'lab coat', 'bow tie']
White	['stethoscope', 'ice lolly', 'screwdriver', 'notebook', 'crossword puzzle']
White	['folding chair', 'barber chair', 'steel drum', 'barrow', 'rocking chair']
White	['bow tie', 'shower cap', 'punching bag', 'microphone', 'bassoon']
White	['military uniform', 'bow tie', 'wig', 'lab coat', 'suit']
White	["potter's wheel", 'paintbrush', 'plunger', 'wok', 'vacuum']
White	['swimming trunks', 'sarong', 'pajama', 'miniskirt', 'brassiere']
White	['harmonica', 'barbershop', 'Band Aid', 'loupe', 'sunscreen']
