Race	Labels
Black	['Sussex spaniel', 'Brabancon griffon', 'jersey', 'vestment']
Black	['Yorkshire terrier', 'wig', 'bonnet', 'poncho', 'feather boa']
Black	['ice lolly', 'shower cap', 'bubble', 'balloon', 'ice cream']
Black	['hermit crab', 'nipple', 'Petri dish', "potter's wheel", 'panpipe']
Black	['whistle', 'bubble', 'whistle', 'panpipe', 'mask']
Black	['bonnet', 'neck brace', 'oxygen mask', 'gasmask', 'puck']
Black	['brassiere', 'mask', 'maraca', 'ski mask', 'bow tie']
Black	['syringe', 'barbershop', 'cash machine', 'lab coat', 'barber chair']
Black	['Loafer', 'EntleBucher', 'black-and-tan coonhound', 'Gordon setter', 'German short-haired pointer']
Black	['curly-coated retriever', 'bulletproof vest', 'oxygen mask', 'knee pad', 'ski mask']
Black	['gasmask', 'kimono', 'bow tie', 'stole', 'groom']
Black	['sweatshirt', 'military uniform', 'neck brace', 'ballplayer', 'Band Aid']
Black	['bow tie', 'toyshop', 'basketball', 'teddy', 'plunger']
Black	['knee pad', 'stethoscope', 'lab coat', 'oxygen mask', 'Windsor tie']
Black	['neck brace', 'sunglass', 'sunglasses', 'monkey', 'shower cap']
Black	['mask', 'neck brace', 'maillot', 'brassiere', 'overskirt']
Black	['maraca', 'torch', 'stage', 'basketball', 'scoreboard']
Black	['bassoon', 'bulletproof vest', 'assault rifle', 'pickelhaube', 'comic book']
Black	['affenpinscher', 'bolo tie', 'gong', 'chime', 'torch']
Black	['harp', 'Arabian camel', 'ox', 'warthog', 'tusker']
Black	['African elephant', 'kimono', 'vestment', 'marimba', 'panpipe']
Black	['book jacket', 'mask', 'microphone', 'knee pad', 'piggy bank']
Black	['whistle', 'vestment', 'cornet', 'steel drum', 'sax']
Black	['oboe', 'neck brace', 'Windsor tie', 'academic gown', 'prison']
Black	['oboe', 'bearskin', 'steel drum', 'drum', 'basketball']
Black	['torch', 'Windsor tie', 'vestment', 'steel drum', 'English foxhound']
Black	['neck brace', 'curly-coated retriever', 'ice lolly', 'swing', 'Bedlington terrier']
Black	['miniature poodle', 'monkey', 'chain', "potter's wheel", 'monkey']
Black	['redbone', 'chain saw', 'cowboy hat', 'worm fence', 'rock python']
Black	['Indian cobra', 'neck brace', 'ski', 'plunger', 'maypole']
Black	['maraca', 'accordion', 'poncho', 'chain mail', 'shield']
Black	['cowboy hat', 'mask', 'monkey', 'French bulldog', 'sunscreen']
Black	['cloak', 'Windsor tie', 'sunscreen', 'chain mail', 'face powder']
Black	['neck brace', 'redbone', 'Doberman', 'black-and-tan coonhound', 'sorrel']
